id,chart,artist,title,cos,neurons_lit,heart_aPN1_hz,panic_GF_hz,jo_A_hz,jo_B_hz
japan_18,japan,tuki.,晩餐歌,0.5649397021988288,731,0.20784313725490194,7.116666666666666,236.3006666666667,114.88522727272726
japan_19,japan,Number_i,GOAT,0.560930460792871,739,0.2450980392156863,8.083333333333334,209.28933333333333,105.12916666666666
japan_20,japan,宇多田ヒカル,First Love,0.5395362353358796,742,0.17254901960784313,4.716666666666667,228.43666666666667,78.87348484848485
japan_21,japan,竹内まりや,プラスティック・ラブ,0.6249645825765039,774,0.7333333333333334,27.5,190.01866666666666,139.4848484848485
japan_22,japan,坂本九,上を向いて歩こう,0.5695091265414964,743,0.23137254901960783,6.733333333333333,234.32733333333329,117.01022727272729
japan_23,japan,Da-iCE,スターマイン,0.5559520724973028,739,0.1607843137254902,4.783333333333333,230.542,95.82803030303029
japan_24,japan,back number,高嶺の花子さん,0.5672552589256058,698,0.11764705882352941,1.9166666666666667,245.90666666666667,130.67916666666667
japan_25,japan,星野源,恋,0.5968427095717046,732,0.40980392156862744,11.033333333333333,239.4746666666667,163.2693181818182
japan_26,japan,ずっと真夜中でいいのに。,秒針を噛む,0.5779209243449807,718,0.2156862745098039,5.616666666666666,238.2026666666667,144.0681818181818
korea_00,korea,BTS,Dynamite,0.5792783595841163,751,0.3803921568627451,13.9,213.9786666666667,119.8715909090909
korea_01,korea,BTS,Butter,0.578533726422798,769,0.44901960784313727,16.1,201.3073333333333,117.40227272727272
korea_02,korea,PSY,Gangnam Style,0.5784762582500952,763,0.3313725490196079,12.35,226.62933333333334,110.12727272727271
korea_03,korea,BLACKPINK,DDU-DU DDU-DU,0.5217719574716689,683,0.08235294117647059,1.8666666666666667,241.62400000000002,80.63484848484848
korea_04,korea,BLACKPINK,How You Like That,0.5614891377654834,760,0.23529411764705882,7.616666666666666,224.67800000000003,107.6564393939394
korea_05,korea,ROSÉ,APT.,0.5486822360677355,749,0.29215686274509806,9.333333333333334,189.91,86.2276515151515
korea_06,korea,NewJeans,Hype Boy,0.5584672262910164,752,0.22549019607843138,6.85,240.6966666666667,98.99507575757575
korea_07,korea,NewJeans,Ditto,0.5451430233745064,694,0.08431372549019608,2.3333333333333335,234.92000000000004,98.88598484848484
korea_08,korea,NewJeans,Super Shy,0.6028233930536815,758,0.5725490196078431,21.233333333333334,215.52799999999996,148.72840909090908
korea_09,korea,IU,Good Day,0.5578780977352339,745,0.18627450980392157,5.5,245.88533333333334,98.03825757575756
korea_10,korea,IU,Through the Night,0.6072702293305481,786,0.5450980392156863,21.316666666666666,204.35399999999998,124.59772727272728
korea_11,korea,BIGBANG,Fantastic Baby,0.5662259393198344,765,0.26862745098039215,9.066666666666666,227.57399999999998,114.3530303030303
korea_12,korea,BIGBANG,Lies,0.5693882732935662,781,0.3254901960784314,11.05,224.054,114.11969696969696
korea_13,korea,Wonder Girls,Tell Me,0.511908773880501,686,0.0607843137254902,2.0166666666666666,234.64666666666668,70.24128787878789
korea_14,korea,Girls' Generation,Gee,0.5685813713145875,727,0.16470588235294117,4.5,240.00933333333333,124.97613636363636
korea_15,korea,aespa,Supernova,0.578563267561003,728,0.307843137254902,11.4,206.61133333333336,130.18825757575758
korea_16,korea,IVE,LOVE DIVE,0.578963559849873,768,0.4568627450980392,15.45,205.54733333333334,123.72045454545456
korea_17,korea,(G)I-DLE,Queencard,0.5704149591212946,737,0.2196078431372549,7.05,231.1646666666667,115.9090909090909
korea_18,korea,Jung Kook,Seven,0.5785659042494029,753,0.33333333333333337,10.583333333333334,218.9,117.8939393939394
korea_19,korea,Jimin,Like Crazy,0.5878043383054106,749,0.3980392156862745,13.75,223.08599999999998,137.1844696969697
korea_20,korea,HUNTR/X,Golden,0.5794350916643036,735,0.26666666666666666,8.816666666666666,217.98466666666667,114.63560606060605
korea_21,korea,YOUNHA,Event Horizon,0.570146997654213,718,0.15294117647058825,3.783333333333333,238.92133333333334,126.92803030303031
korea_22,korea,Busker Busker,Cherry Blossom Ending,0.5739318667738567,725,0.19215686274509802,4.716666666666667,226.29733333333334,127.41325757575758
korea_23,korea,SEVENTEEN,Super,0.5608497172555955,746,0.18823529411764706,6.583333333333333,219.96533333333332,108.11818181818181
korea_24,korea,Stray Kids,S-Class,0.5716843054533844,746,0.3686274509803922,15.383333333333333,190.04,107.16022727272725
korea_25,korea,Seo Taiji and Boys,I Know,0.5929712820236323,736,0.5117647058823529,18.6,210.37133333333333,140.52083333333331
korea_26,korea,Kim Kwang Seok,서른 즈음에,0.5839563789196578,729,0.3254901960784314,10.583333333333334,217.87866666666662,141.17727272727276
ctrl_flysong,control,Drosophila melanogaster,Courtship Song (another fly),0.9993414577884714,444,1.0509803921568628,44.61666666666667,88.258,115.525
ctrl_noise,control,Control,White Noise,0.5051737151114468,624,0.0,0.0,249.27400000000006,95.13560606060607
ctrl_tone,control,Control,440 Hz Tone,0.3504316987753634,543,0.0,0.0,249.224,2.324621212121212
ctrl_metronome,control,Control,Metronome 120 BPM,0.8996188847899044,273,0.12549019607843137,5.85,20.246,18.984848484848484
