id,chart,artist,title,cos,neurons_lit,heart_aPN1_hz,panic_GF_hz,jo_A_hz,jo_B_hz
japan_00,japan,YOASOBI,アイドル,0.9218873230637082,253,0.3588235294117647,16.766666666666666,164.78,68.9280303030303
japan_01,japan,YOASOBI,夜に駆ける,0.9340753326731062,244,0.4137254901960784,20.45,170.72866666666664,90.32462121212122
japan_02,japan,Creepy Nuts,Bling-Bang-Bang-Born,0.9292090740178153,243,0.35882352941176476,18.116666666666667,147.594,65.90454545454546
japan_03,japan,Mrs. GREEN APPLE,ライラック,0.9130097845175912,216,0.25686274509803925,15.683333333333334,179.59333333333336,85.7155303030303
japan_04,japan,Mrs. GREEN APPLE,ケセラセラ,0.9220760845106951,242,0.3294117647058824,15.15,151.8293333333333,69.0094696969697
japan_05,japan,Official髭男dism,Pretender,0.871544956666542,219,0.13333333333333333,5.566666666666666,217.20933333333332,68.61174242424244
japan_06,japan,Official髭男dism,Subtitle,0.9539288500265345,260,0.5823529411764706,25.9,128.53466666666662,89.81704545454546
japan_07,japan,King Gnu,白日,0.8989767817194279,216,0.19019607843137254,11.066666666666666,171.35399999999998,67.12386363636364
japan_08,japan,米津玄師,Lemon,0.8758266478181984,199,0.18823529411764706,8.233333333333333,197.188,64.04356060606061
japan_09,japan,米津玄師,KICK BACK,0.9131814288970244,244,0.296078431372549,13.1,179.34600000000003,74.29507575757576
japan_10,japan,Ado,うっせぇわ,0.9026406750003834,223,0.22549019607843138,11.75,176.62600000000003,71.15454545454544
japan_11,japan,Ado,新時代,0.9000214812713733,229,0.22549019607843138,11.033333333333333,192.666,76.77083333333334
japan_12,japan,LiSA,紅蓮華,0.8909100103635454,216,0.1627450980392157,11.35,174.95,64.02727272727273
japan_13,japan,Vaundy,怪獣の花唄,0.8878383456208568,206,0.12941176470588237,8.866666666666667,205.138,88.6496212121212
japan_14,japan,藤井 風,死ぬのがいいわ,0.8926419595955352,231,0.1784313725490196,9.516666666666667,183.73933333333332,72.3348484848485
japan_15,japan,Aimer,残響散歌,0.8664504670892105,190,0.10980392156862745,8.333333333333334,194.47799999999998,64.9776515151515
japan_16,japan,あいみょん,マリーゴールド,0.8775082633095977,197,0.12745098039215685,7.25,198.502,71.78598484848484
japan_17,japan,優里,ドライフラワー,0.8728561237457878,196,0.12745098039215685,10.133333333333333,174.03133333333335,55.30871212121212
japan_18,japan,tuki.,晩餐歌,0.9090953028271114,221,0.26862745098039215,14.95,169.78400000000002,66.60113636363636
japan_19,japan,Number_i,GOAT,0.92657922531985,249,0.307843137254902,14.966666666666667,140.40599999999998,62.57121212121212
japan_20,japan,宇多田ヒカル,First Love,0.8801638844491245,205,0.16470588235294117,10.316666666666666,163.00466666666665,44.95530303030303
japan_21,japan,竹内まりや,プラスティック・ラブ,0.9569301392827294,255,0.6411764705882353,30.533333333333335,112.61933333333333,88.87083333333334
japan_22,japan,坂本九,上を向いて歩こう,0.9367246755053469,237,0.35490196078431374,16.65,163.78866666666667,69.6219696969697
japan_23,japan,Da-iCE,スターマイン,0.9163983922509418,242,0.2882352941176471,12.433333333333334,166.8,55.67424242424243
japan_24,japan,back number,高嶺の花子さん,0.898996725471156,206,0.24901960784313726,12.75,185.498,75.82727272727273
japan_25,japan,星野源,恋,0.9303229773384039,235,0.36078431372549025,19.383333333333333,174.79733333333334,95.79734848484848
japan_26,japan,ずっと真夜中でいいのに。,秒針を噛む,0.9124102536780401,217,0.2705882352941177,15.583333333333334,174.52466666666663,84.47651515151516
korea_00,korea,BTS,Dynamite,0.9419428093199493,252,0.4745098039215686,23.05,147.55200000000002,71.7128787878788
korea_01,korea,BTS,Butter,0.9427561921241903,268,0.5686274509803921,22.433333333333334,151.72933333333333,82.17462121212121
korea_02,korea,PSY,Gangnam Style,0.9417197479427283,275,0.5313725490196078,20.316666666666666,160.81466666666668,69.89090909090909
korea_03,korea,BLACKPINK,DDU-DU DDU-DU,0.8815817634254094,212,0.15490196078431373,9.9,169.5426666666667,46.385984848484846
korea_04,korea,BLACKPINK,How You Like That,0.9121242656432883,250,0.27254901960784317,14.266666666666667,158.82266666666666,61.343181818181826
